Price,adj close,close,high,low,open,volume
Ticker,es=f,es=f,es=f,es=f,es=f,es=f
Datetime,,,,,,
2025-11-21 10:48:00-05:00,6568.5,6568.5,6571.5,6563.75,6570.0,5118
2025-11-21 10:49:00-05:00,6572.0,6572.0,6574.5,6566.25,6568.5,5365
2025-11-21 10:50:00-05:00,6570.75,6570.75,6571.75,6563.75,6571.75,4222
2025-11-21 10:51:00-05:00,6563.5,6563.5,6571.0,6558.5,6570.5,4143
2025-11-21 10:52:00-05:00,6560.0,6560.0,6564.25,6557.5,6563.75,4222
2025-11-21 10:53:00-05:00,6565.0,6565.0,6565.0,6557.25,6560.0,4816
2025-11-21 10:54:00-05:00,6569.0,6569.0,6569.0,6563.5,6565.0,2230
2025-11-21 10:56:00-05:00,6573.5,6573.5,6574.25,6573.25,6574.0,12665
2025-11-21 10:57:00-05:00,6563.0,6563.0,6574.0,6562.75,6573.75,4543
2025-11-21 10:58:00-05:00,6565.0,6565.0,6567.5,6559.5,6562.75,4950
2025-11-21 10:59:00-05:00,6558.5,6558.5,6565.5,6557.75,6565.25,4391
2025-11-21 11:00:00-05:00,6560.25,6560.25,6564.0,6557.5,6558.5,4700
2025-11-21 11:01:00-05:00,6557.5,6557.5,6561.75,6556.5,6560.0,4242
2025-11-21 11:02:00-05:00,6552.75,6552.75,6558.0,6551.25,6557.5,6583
2025-11-21 11:03:00-05:00,6553.75,6553.75,6555.25,6550.75,6552.75,4997
2025-11-21 11:04:00-05:00,6550.0,6550.0,6553.75,6545.25,6553.75,4122
2025-11-21 11:05:00-05:00,6543.75,6543.75,6550.25,6542.25,6550.0,4221
2025-11-21 11:06:00-05:00,6548.75,6548.75,6550.0,6541.75,6544.0,4863
2025-11-21 11:07:00-05:00,6554.0,6554.0,6555.25,6548.25,6549.25,4531
2025-11-21 11:08:00-05:00,6557.75,6557.75,6560.0,6552.0,6554.25,5482
2025-11-21 11:09:00-05:00,6559.75,6559.75,6560.0,6554.5,6557.75,3865
2025-11-21 11:10:00-05:00,6561.25,6561.25,6564.0,6558.25,6559.75,6044
2025-11-21 11:11:00-05:00,6559.0,6559.0,6564.5,6556.25,6561.25,4575
2025-11-21 11:12:00-05:00,6561.25,6561.25,6562.75,6555.0,6559.25,3645
2025-11-21 11:13:00-05:00,6566.75,6566.75,6569.0,6560.25,6561.25,4155
2025-11-21 11:14:00-05:00,6564.0,6564.0,6566.75,6560.25,6566.5,3821
2025-11-21 11:15:00-05:00,6565.5,6565.5,6566.25,6561.25,6564.0,4725
2025-11-21 11:16:00-05:00,6568.25,6568.25,6568.5,6562.25,6565.0,4636
2025-11-21 11:17:00-05:00,6565.75,6565.75,6571.5,6562.75,6568.5,3962
2025-11-21 11:18:00-05:00,6552.25,6552.25,6566.5,6551.0,6566.0,4713
2025-11-21 11:19:00-05:00,6553.5,6553.5,6555.0,6550.75,6552.25,4616
2025-11-21 11:20:00-05:00,6567.25,6567.25,6569.5,6552.0,6553.5,5491
2025-11-21 11:21:00-05:00,6573.75,6573.75,6574.5,6564.5,6567.25,5980
2025-11-21 11:22:00-05:00,6574.75,6574.75,6577.75,6572.0,6574.0,7058
2025-11-21 11:23:00-05:00,6573.75,6573.75,6578.5,6573.25,6575.0,6095
2025-11-21 11:24:00-05:00,6579.0,6579.0,6580.75,6573.5,6573.5,5178
2025-11-21 11:25:00-05:00,6580.0,6580.0,6581.5,6576.25,6579.0,4600
2025-11-21 11:26:00-05:00,6580.0,6580.0,6583.25,6578.75,6579.75,4450
2025-11-21 11:27:00-05:00,6580.75,6580.75,6585.25,6579.5,6580.0,4206
2025-11-21 11:28:00-05:00,6583.75,6583.75,6585.5,6579.75,6581.0,3579
2025-11-21 11:29:00-05:00,6590.25,6590.25,6591.0,6583.5,6583.75,6349
2025-11-21 11:30:00-05:00,6592.75,6592.75,6594.75,6589.75,6590.5,6798
2025-11-21 11:31:00-05:00,6586.5,6586.5,6593.25,6585.75,6593.0,7433
2025-11-21 11:32:00-05:00,6589.0,6589.0,6591.75,6583.5,6586.75,6936
2025-11-21 11:33:00-05:00,6593.0,6593.0,6594.25,6587.25,6589.0,5557
2025-11-21 11:34:00-05:00,6589.25,6589.25,6594.75,6588.0,6593.5,5301
2025-11-21 11:35:00-05:00,6593.75,6593.75,6594.0,6588.25,6589.0,4817
2025-11-21 11:36:00-05:00,6599.5,6599.5,6603.0,6593.0,6593.75,8305
2025-11-21 11:37:00-05:00,6601.0,6601.0,6604.0,6598.5,6599.25,6198
2025-11-21 11:38:00-05:00,6602.5,6602.5,6605.0,6600.0,6601.25,6151
2025-11-21 11:39:00-05:00,6601.0,6601.0,6602.75,6598.0,6602.5,3761
2025-11-21 11:40:00-05:00,6602.75,6602.75,6605.0,6600.5,6601.0,4485
2025-11-21 11:41:00-05:00,6603.5,6603.5,6606.5,6602.25,6602.75,5941
2025-11-21 11:42:00-05:00,6604.25,6604.25,6608.0,6602.75,6603.25,5204
2025-11-21 11:43:00-05:00,6604.0,6604.0,6606.0,6602.0,6604.25,3748
2025-11-21 11:44:00-05:00,6604.75,6604.75,6605.5,6602.0,6604.0,4487
2025-11-21 11:45:00-05:00,6599.5,6599.5,6605.0,6597.75,6605.0,5247
2025-11-21 11:46:00-05:00,6602.25,6602.25,6605.75,6598.25,6599.0,4281
2025-11-21 11:47:00-05:00,6604.25,6604.25,6605.0,6600.0,6602.0,4058
2025-11-21 11:48:00-05:00,6608.0,6608.0,6612.5,6604.25,6604.25,6925
2025-11-21 11:49:00-05:00,6607.75,6607.75,6609.75,6606.0,6608.0,3223
2025-11-21 11:50:00-05:00,6611.25,6611.25,6612.0,6604.5,6607.75,3855
2025-11-21 11:51:00-05:00,6613.5,6613.5,6615.5,6610.0,6611.0,6341
